person_name,acct_num,card_company,card_number,txn_datetime,merch_name,merch_cat,txn_amount,currency,pay_meth,city,txn_type,bill_cyc,txn_status
nicholasschmidt,GB57FTLA51213621742552,American Express,4709190197010874,2025-06-01 18:01:25,Pantaloons,Clothing,7760.85,INR,Debit Card,Shawnton,Purchase,June,Pending
nrosales,GB77BZJT64123805612700,amex,6511421050592457,2025-07-11 06:36:02,Shoppers Stop,Electronics,93951.40,INR,Credit Card,Howardfurt,Purchase,October,Declined
omartinez,GB96YYQL38836548470013,saphiro,3585360596750690,2025-06-16 11:36:23,Tata CLiQ,Electronics,18507.15,INR,Debit Card,North Angelaport,Purchase,October,Declined
leanne,GB63PMYY15748763976115,amex,4085998486092153,2025-02-11 14:18:29,Reliance Digital,Health,78311.18,INR,RTGS,East Dorisfurt,Purchase,May,Approved
steventurner,GB46WCVP13624936010988,VISA,4608635057793,2025-08-23 05:38:15,V-Mart Retail Ltd,Health,53573.34,INR,NEFT,Hendrixborough,Withdrawal,August,Declined
thomas78,GB75KYPZ12901474520418,Mastercard,3524335210962875,2025-12-14 15:46:28,Spar Hypermarket,Dining,83376.48,INR,Debit Card,East Aaronville,Refund,April,Reversed
macdonaldcarmen,GB45YWUF09740508353977,rupay,3524335210962875,2025-08-01 13:55:07,Decathlon India,Grocery,984.93,INR,Credit Card,New Jasonfort,Withdrawal,October,Declined
chelseycarey,GB20UERI98284205797242,Mastercard,503803938227,2025-11-11 19:41:45,CaratLane,Clothing,34543.49,INR,Mobile Payment,Schaeferport,Purchase,September,Approved
reginaschultz,GB41EAKI28893031525966,chhupay,4519312598991476749,2025-05-15 11:12:40,ShopClues,Clothing,87178.06,INR,Credit Card,Fostertown,Refund,November,Approved
joshuawarner,GB06MVNH11865641987455,Mastercard,3555272555068145,2025-09-10 12:12:21,Avenue Supermarts,Electronics,93135.79,INR,NEFT,Markton,Purchase,January,Pending
gonzalesfrancisco,GB50VVGS64819933874746,Mastercard,348767317070089,2025-02-20 20:37:55,Shoppers Stop,Dining,25002.85,INR,Mobile Payment,South Michael,Withdrawal,February,Declined
ilarsen,GB96AVYC38129007201713,rupay,213102300804116,2025-01-17 06:20:31,IKEA India,Travel,26644.56,INR,RTGS,Curtisshire,Deposit,April,Declined
thomas78,GB18NBNI58590546328188,VISA,180066944488223,2025-05-10 05:55:23,Westside,Health,24959.36,INR,UPI,Loriland,Purchase,April,Approved
davidsellers,GB66CQOB73355118254038,Discover,4730380102663,2025-11-18 00:32:22,BabyChakra,Health,28783.30,INR,UPI,Brianshire,Deposit,September,Approved
janet80,GB32SYCH56244136228137,rupay,30134194233004,2025-07-24 15:16:44,Spar Hypermarket,Travel,44872.99,INR,RTGS,New Jenniferfurt,Withdrawal,June,Declined
marciaharper,GB70WEOT36924939151459,Diners Club,4823624269746511,2025-01-27 22:04:55,Titan Company,Health,4943.68,INR,Mobile Payment,Lake Travis,Deposit,June,Reversed
llawrence,GB50JZZJ68273848863020,Diners Club,180001908518368,2025-01-12 07:09:34,Pantaloons,Grocery,64446.16,INR,Mobile Payment,North Jordanton,Refund,July,Approved
dmills,GB70SNRL88214419856650,rupay,4499177595396306,2025-02-01 12:36:23,Pantaloons,Travel,45113.51,INR,UPI,East Diane,Withdrawal,October,Pending
obryant,GB36NISQ91351591633147,chhupay,4205231707176406,2025-10-22 15:16:07,Nilgiris,Health,54427.36,INR,RTGS,Stephenberg,Deposit,August,Approved
melissa40,GB02URZV62847107330836,Maestro,5187237245524725,2025-07-08 02:50:02,Marks & Spencer India,Grocery,81187.56,INR,Debit Card,East Crystal,Refund,March,Pending
luke28,GB70OZFT92706775236596,saphiro,4677259628801918,2025-12-06 15:28:17,Westside,Electronics,36460.79,INR,Bank Transfer,Lake Crystalton,Withdrawal,August,Pending
williamsjoan,GB30QXTV51856987458072,rupay,575023974935,2025-05-27 18:41:33,Future Group,Dining,92277.75,INR,Credit Card,Shawnaport,Purchase,June,Approved
williamsjustin,GB36ZDGP19487655931752,chhupay,349964022897497,2025-10-26 12:32:43,DMart,Electronics,39429.30,INR,UPI,North Dustin,Withdrawal,May,Approved
smithrobert,GB19SDAC98980787460535,Maestro,4039286692674155,2025-03-13 14:49:14,Flipkart,Grocery,22686.02,INR,NEFT,South Ashley,Purchase,July,Approved
snydercharles,GB32EKSY57232455194455,American Express,6544559417050015,2025-01-29 02:43:21,HyperCity,Grocery,97872.25,INR,RTGS,Floresfurt,Refund,February,Approved
reginaschultz,GB46BOQR94948085546957,Diners Club,344925822601269,2025-04-17 07:38:29,ShopClues,Grocery,45298.08,INR,Bank Transfer,East Timothyton,Refund,April,Reversed
brendablake,GB82LJNW49713337426191,saphiro,4897976584040,2025-04-04 02:50:14,Nilgiris,Health,45524.98,INR,Debit Card,Kathrynshire,Deposit,April,Approved
rsnyder,GB04YNVU52628296862949,Diners Club,30271042183880,2025-06-21 08:48:29,Central,Grocery,16504.64,INR,Debit Card,West Elizabeth,Purchase,February,Declined
nguyenhunter,GB95PDQX11778242880817,VISA,3589802346393723,2025-10-16 11:07:07,Bewakoof,Dining,45144.17,INR,RTGS,Amyside,Refund,February,Declined
paulvelasquez,GB04EMJA20048554107275,Mastercard,30031624210323,2025-09-30 15:42:01,Meesho,Health,17296.80,INR,Credit Card,South Wanda,Withdrawal,March,Declined
jamesblake,GB87ZXSX69499201672814,VISA,2668773874878771,2025-07-13 20:09:38,Foodhall,Travel,57681.65,INR,RTGS,West Juliefort,Deposit,March,Approved
bjoseph,GB67KYUW69867331656341,VISA,341484541649517,2025-04-29 11:28:34,Central,Travel,97736.98,INR,Credit Card,West Casey,Deposit,October,Declined
miguel71,GB39WHIO39578027991009,Maestro,4346427178659769,2025-01-18 00:29:03,Amazon India,Health,18890.98,INR,NEFT,Lake Victor,Deposit,June,Reversed
brichards,GB80RKPO15858636220891,Diners Club,371649760442298,2025-11-11 16:59:44,BigBasket,Grocery,9303.68,INR,Debit Card,Lake Sara,Deposit,September,Declined
bjoseph,GB17BRVN75636061271133,Mastercard,3524943223232283,2025-10-13 23:01:03,V-Mart Retail Ltd,Dining,76900.37,INR,RTGS,Evansberg,Withdrawal,November,Reversed
greernancy,GB74OIRX72201903000953,saphiro,30244961511613,2025-02-19 17:37:12,Future Group,Travel,25035.17,INR,NEFT,Lake Michael,Purchase,February,Approved
justinsmith,GB51WTHY69146217673044,VISA,4275776322889,2025-01-02 00:24:10,BlueStone,Grocery,80823.72,INR,NEFT,South Anita,Deposit,February,Pending
heathergarcia,GB57MWDU80395668841234,amex,3570238935069211,2025-05-14 16:49:42,Spar Hypermarket,Dining,29495.82,INR,Debit Card,Simmonsfurt,Deposit,August,Approved
sarah08,GB52RLQR80124764052319,Discover,6011727619037056,2025-07-19 18:32:40,Nykaa,Dining,45477.44,INR,RTGS,Port Elizabeth,Refund,April,Pending
shelleyduarte,GB39ZLIC29327153391228,American Express,5190191081415297,2025-03-31 18:23:12,Spar Hypermarket,Dining,53281.22,INR,UPI,North Samantha,Refund,July,Approved
laura08,GB37YVJP26948014285185,Diners Club,4972887706647548,2025-06-25 13:31:42,Nykaa,Electronics,16761.36,INR,Mobile Payment,West Teresa,Refund,May,Pending
yfields,GB69XSWO14264017970869,American Express,3579366970575338,2025-10-08 00:15:01,DMart,Travel,10670.24,INR,NEFT,Arnoldchester,Deposit,September,Declined
michaelvelazquez,GB65HONW07587253608335,American Express,30271042183880,2025-07-29 03:42:58,IKEA India,Grocery,73777.18,INR,Credit Card,Stonetown,Refund,August,Approved
mfisher,GB31VVDF36362640547732,VISA,2255367537222565,2025-11-28 08:47:18,CaratLane,Clothing,78831.12,INR,Debit Card,Loganmouth,Withdrawal,June,Reversed
hlong,GB95OOYL23042980293043,VISA,639086665242,2025-04-05 14:41:29,Myntra,Travel,66471.76,INR,RTGS,Jodyberg,Deposit,November,Pending
michaelphelps,GB33CIKD07698506578864,Mastercard,4241122663133125,2025-11-12 16:58:15,Myntra,Clothing,86744.07,INR,NEFT,Codytown,Withdrawal,July,Declined
william81,GB78WRMW72167063453114,VISA,4801537949349724887,2025-08-14 02:44:31,V-Mart Retail Ltd,Health,53158.54,INR,Bank Transfer,Victorberg,Purchase,September,Approved
wilsonemily,GB95IIPB66878828572049,saphiro,6011715323087095,2025-10-31 09:21:34,Nykaa,Dining,18025.23,INR,Bank Transfer,Lake Cindyborough,Withdrawal,August,Reversed
allenkevin,GB61OVBC30060578443634,Discover,2720520839704279,2025-02-08 20:31:39,Nykaa,Health,63274.42,INR,NEFT,South Patrick,Deposit,August,Approved
reedjeffrey,GB07ZGJP09937061854489,VISA,676399558953,2025-02-20 19:54:05,Future Group,Clothing,74051.44,INR,Debit Card,Frankshire,Refund,February,Declined
gabriellamason,GB25BXEW82749351208570,Discover,4805666027155321,2025-03-28 22:02:06,HyperCity,Grocery,9965.32,INR,RTGS,South Jamietown,Purchase,February,Pending
stevenalvarado,GB54SVXO95767171669997,Maestro,6578170430934638,2025-05-27 06:33:55,Amazon India,Grocery,36761.32,INR,UPI,East Matthew,Refund,January,Pending
connorpaul,GB84ONFB95146610613627,Maestro,377287924882929,2025-09-04 13:27:47,JioMart,Clothing,46257.33,INR,RTGS,Port Charleston,Withdrawal,December,Reversed
lopezmary,GB24GRED95947623996161,saphiro,583988703059,2025-02-27 05:05:00,Central,Travel,15278.03,INR,Bank Transfer,North Christopherport,Purchase,March,Pending
scottbrian,GB29AGVG97188388380657,chhupay,213164044220538,2025-05-25 20:04:59,Reliance Fresh,Electronics,89874.46,INR,NEFT,Lake Joshua,Withdrawal,August,Approved
allendakota,GB37XBRW31743225241992,rupay,4384471012959,2025-09-27 00:36:33,Fabindia,Clothing,51345.16,INR,Mobile Payment,New Briannafurt,Purchase,June,Pending
tanya26,GB04EWMS35636921738947,Diners Club,3593762971561255,2025-08-24 01:27:28,Lenskart,Travel,49756.09,INR,RTGS,North Kenneth,Refund,May,Approved
heatherlopez,GB59BGRG84444281428865,VISA,676207468841,2025-07-18 02:14:41,JioMart,Electronics,44778.83,INR,Debit Card,Ramseyhaven,Withdrawal,April,Approved
johnstevenson,GB81QMVZ38525904604444,chhupay,213120876500108,2025-03-29 19:47:27,Big Bazaar,Clothing,40664.06,INR,Debit Card,New Duane,Withdrawal,August,Pending
landerson,GB33DKTE50551499814615,chhupay,3574115771130206,2025-09-28 10:27:27,FirstCry,Electronics,16569.31,INR,UPI,Anthonymouth,Purchase,January,Reversed
ericmiranda,GB88GFNW43158359556833,chhupay,502069015340,2025-01-13 17:43:12,Pantaloons,Health,7946.48,INR,Bank Transfer,East Jamesville,Withdrawal,July,Approved
mullinsjessica,GB90DJRR87165384010849,Discover,4763698427567813,2025-06-28 14:38:44,Foodhall,Grocery,98914.00,INR,Mobile Payment,West Samuelborough,Refund,June,Reversed
lauriemathews,GB91NLWR63686359688391,VISA,4351734119571066,2025-09-17 18:29:34,Zivame,Grocery,91065.41,INR,RTGS,Heathmouth,Deposit,December,Approved
ushelton,GB16XNPB97882149303107,saphiro,3574115771130206,2025-11-06 19:19:39,Big Bazaar,Dining,27586.74,INR,Credit Card,Christinehaven,Deposit,February,Reversed
cmaynard,GB11JRZM93520194119177,Maestro,2611940860814551,2025-02-28 17:44:52,FirstCry,Clothing,64087.68,INR,Mobile Payment,Jamesborough,Refund,September,Declined
thomas05,GB72PTHC93068341611046,American Express,2244799049235418,2025-04-24 08:03:49,Westside,Dining,46337.94,INR,Bank Transfer,South Nicole,Refund,June,Declined
hjones,GB41DNET82365562007703,rupay,2251219397789981,2025-08-17 09:44:51,Aditya Birla Retai,Travel,20191.46,INR,Credit Card,Lake Amber,Refund,March,Approved
jesse34,GB62AJQI83590905598192,Diners Club,4750229327413194729,2025-03-10 05:57:00,Zivame,Health,20737.49,INR,NEFT,Lake Margaret,Deposit,July,Approved
nunezvirginia,GB28MMQV90864887559662,rupay,180094993418479,2025-02-11 17:08:11,Future Group,Travel,73462.06,INR,NEFT,Perezburgh,Purchase,February,Pending
nathanblankenship,GB10BFPH14611067071600,Mastercard,180078310412414,2025-01-03 16:25:52,Spencer’s Retail,Travel,66328.54,INR,Debit Card,East Oliviaside,Refund,April,Pending
danielsandra,GB48BZPV98004688140718,chhupay,4123465103479828317,2025-03-26 09:09:20,Central,Travel,31249.61,INR,UPI,New Michael,Purchase,September,Pending
ashleysanchez,GB09SRRJ49321743198035,chhupay,3519370160396581,2025-12-03 21:57:14,Spar Hypermarket,Clothing,13851.03,INR,Bank Transfer,Williamsburgh,Withdrawal,February,Declined
sandersjohn,GB09XGUC24130434330060,rupay,3502178987226785,2025-09-29 12:05:57,ShopClues,Clothing,79783.59,INR,Debit Card,Port Kaitlinside,Purchase,November,Reversed
anthony80,GB37OCKF23746424398676,Discover,6011154990263690,2025-01-28 18:25:50,Urban Ladder,Grocery,87316.76,INR,NEFT,Lake Thomaschester,Refund,May,Declined
jessicadavis,GB18OVHN22389687148715,VISA,4317802347955535,2025-07-17 08:03:23,Marks & Spencer India,Electronics,84403.33,INR,RTGS,Ginaberg,Refund,March,Reversed
brownjoseph,GB29SFPY05795046745011,saphiro,4010731127556991,2025-02-16 02:24:16,Fabindia,Clothing,13321.57,INR,Bank Transfer,Jamesville,Withdrawal,May,Declined
fernandofriedman,GB49DLJM96441232655079,rupay,3529271642605482,2025-02-11 08:59:15,Snapdeal,Clothing,19104.95,INR,UPI,Lake Kathyberg,Purchase,December,Reversed
amurphy,GB34KKDU08427995013597,Maestro,4573282117255128,2025-11-23 18:15:05,Future Group,Grocery,3441.04,INR,Credit Card,West Charlesland,Deposit,March,Declined
wholmes,GB82KQUW23881858386358,VISA,36856732104628,2025-05-19 06:18:57,FirstCry,Dining,12970.04,INR,NEFT,Keithtown,Refund,October,Approved
james37,GB54SHSH17241158440307,Diners Club,2703909244665558,2025-08-24 13:47:32,Amazon India,Health,34403.54,INR,UPI,Lake Jeremy,Withdrawal,March,Declined
anthonymarks,GB02SIQW99536034704502,Maestro,4407584346876331,2025-02-03 21:08:24,Reliance Retail,Health,52979.05,INR,Debit Card,Debraport,Deposit,July,Approved
cherylrobinson,GB15WYVZ34838279973824,amex,4743265819038,2025-03-09 18:25:02,Lenskart,Clothing,84789.47,INR,Credit Card,Lake Steve,Deposit,December,Pending
joshuawarner,GB98DNLT15069112894719,VISA,342665926137222,2025-10-17 23:12:20,Aditya Birla Retai,Clothing,52390.44,INR,RTGS,West Christopherside,Withdrawal,April,Pending
brian61,GB52NMET99497520959274,chhupay,341356700305406,2025-02-03 18:50:04,Avenue Supermarts,Dining,24653.95,INR,Debit Card,Bakerside,Refund,October,Approved
merrittlinda,GB79BONM85730631613848,amex,4406658890708719,2025-11-02 18:42:08,Shoppers Stop,Clothing,26277.54,INR,Bank Transfer,Joycefurt,Deposit,November,Pending
zpowell,GB54EIAB78772685206163,Diners Club,213177814442314,2025-11-19 20:18:21,DMart,Electronics,54928.59,INR,RTGS,Wallerhaven,Deposit,March,Reversed
barajasbrenda,GB63EJMD49746022025962,Diners Club,4252463087364,2025-02-17 05:37:19,Godrej Consumer Products,Grocery,82782.51,INR,Debit Card,Howardburgh,Purchase,August,Reversed
tamarajohnson,GB17CAUX41119621305945,amex,36571606671376,2025-06-14 07:10:00,Bewakoof,Clothing,99463.17,INR,Credit Card,Phillipport,Withdrawal,July,Pending
davidleonard,GB92HRRA81935718539867,Diners Club,3593505992102645,2025-02-20 21:08:46,Shoppers Stop,Electronics,64580.26,INR,Mobile Payment,Josefurt,Purchase,January,Declined
trichardson,GB12XREJ62667250603518,saphiro,4584890372435,2025-01-17 00:05:09,Reliance Digital,Health,60957.91,INR,Bank Transfer,Oliviachester,Withdrawal,February,Pending
anthony80,GB14ZFLT06248119000895,rupay,503855997980,2025-07-20 19:42:33,BabyChakra,Grocery,78157.70,INR,Mobile Payment,Mooreshire,Purchase,August,Reversed
danabates,GB88KQFU63070080002022,Mastercard,4846784729552462,2025-01-29 10:50:02,Snapdeal,Dining,22222.92,INR,Debit Card,Shieldsbury,Deposit,September,Reversed
zacharynguyen,GB23JKYI50069055523954,rupay,4101792235929546,2025-12-06 08:57:49,Reliance Retail,Health,88530.13,INR,NEFT,Samanthafort,Purchase,December,Pending
mdavis,GB93XTGK66185316112293,chhupay,3544315880786040,2025-07-25 18:09:41,BabyChakra,Travel,49359.20,INR,Bank Transfer,West Amber,Withdrawal,June,Declined
millerjoshua,GB81NUVY56334666962993,saphiro,4464202715857234390,2025-05-10 10:09:51,Titan Company,Health,92061.24,INR,Credit Card,West Brooke,Deposit,February,Declined
vanessapayne,GB38BEEQ92447241209794,Mastercard,4256986247329884,2025-04-03 04:09:38,Zivame,Dining,96933.34,INR,Bank Transfer,Johnview,Deposit,August,Pending
amandasanders,GB67PCSI63169642107470,rupay,4850621838658918,2025-01-17 16:32:34,Reliance Digital,Grocery,27039.14,INR,RTGS,Bradleyhaven,Deposit,October,Approved
lballard,GB50AMAI36226509054288,saphiro,2611940860814551,2025-01-15 03:08:28,Foodhall,Electronics,42690.68,INR,Bank Transfer,New Amberchester,Withdrawal,October,Pending
colekelly,GB24FBLN50734197153030,chhupay,4712425006080124464,2025-02-07 15:06:57,Zivame,Dining,71159.87,INR,Mobile Payment,Hardingbury,Deposit,October,Reversed
nancy11,GB68PJDA49303933715330,Maestro,6559811042335747,2025-07-29 00:03:52,Aditya Birla Retai,Health,87857.60,INR,UPI,Lake Kathy,Withdrawal,October,Reversed
cparker,GB87WRHM66271166713458,saphiro,3500288232231415,2025-11-12 18:35:37,BabyChakra,Clothing,63119.48,INR,Mobile Payment,New Amandaton,Withdrawal,November,Pending
randylawson,GB44PDTZ48558175158278,American Express,3563791695117827,2025-02-27 21:10:06,Reliance Fresh,Clothing,99528.50,INR,Debit Card,Amandafurt,Purchase,June,Approved
reginaschultz,GB81EPSP04887811046324,VISA,4770488980080857467,2025-08-06 04:06:06,Infiniti Retail Ltd,Clothing,32469.37,INR,UPI,Jasontown,Purchase,October,Pending
spencermary,GB79AKLO53799556807828,chhupay,4996752139480,2025-08-04 08:49:43,DMart,Clothing,93083.72,INR,Mobile Payment,West Frederick,Withdrawal,December,Reversed
gburns,GB36YYFG55816120095426,Discover,4713151839928489,2025-11-26 17:54:10,Big Bazaar,Dining,72693.27,INR,UPI,New Ashleychester,Deposit,December,Declined
melissa40,GB55QYZF12805909548965,VISA,3579510876901649,2025-08-04 22:40:09,Snapdeal,Travel,56576.72,INR,Mobile Payment,Douglasville,Deposit,February,Approved
chelseaparker,GB03OLWT43300159589913,VISA,4967562792663055497,2025-10-06 23:37:58,Brand Factory,Travel,22128.00,INR,Debit Card,Edwardbury,Purchase,April,Reversed
pcarpenter,GB31UUCS88531943718629,Diners Club,2647190134894728,2025-10-28 12:51:56,JioMart,Clothing,86821.20,INR,Mobile Payment,North David,Purchase,March,Pending
fstone,GB82YFAM93263497263830,VISA,36524847923593,2025-03-02 11:08:19,DMart,Clothing,7268.87,INR,UPI,Port Jillchester,Withdrawal,January,Declined
stephaniekennedy,GB61UHWD74650053494075,VISA,213106032991513,2025-08-09 20:31:54,Spencer’s Retail,Dining,83290.16,INR,Mobile Payment,Michaelville,Deposit,March,Declined
lesliehughes,GB11DQPU41561927721727,Maestro,4323183499722912,2025-03-07 00:38:56,Marks & Spencer India,Electronics,21385.67,INR,UPI,Georgetown,Refund,February,Reversed
derekmontgomery,GB21KAWH22152513865828,VISA,4648168558438670579,2025-02-25 00:31:56,JioMart,Electronics,71915.45,INR,Bank Transfer,East Aaronville,Withdrawal,June,Pending
bakerlaura,GB03FEQP76399893106193,VISA,180056070867001,2025-06-03 01:53:08,Marks & Spencer India,Travel,18206.58,INR,Credit Card,Port Jacqueline,Purchase,May,Pending
lesliehughes,GB97MCDF96933810106825,VISA,4155158601391,2025-08-28 12:34:27,Shoppers Stop,Grocery,71972.86,INR,Mobile Payment,East Kevinton,Deposit,May,Reversed
amandaholt,GB63RJZC34800196803012,VISA,6556844056367739,2025-08-31 10:05:23,Godrej Consumer Products,Electronics,83606.83,INR,UPI,Andrewstad,Deposit,July,Approved
nathan17,GB24DNAK09481148961779,VISA,4392983717561127215,2025-06-16 19:50:33,Reliance Retail,Dining,61461.73,INR,Bank Transfer,East Charles,Refund,December,Approved
rodriguezdavid,GB59YZFK02452369808883,Discover,6011836378738760,2025-05-06 03:30:12,JioMart,Clothing,32653.85,INR,Credit Card,Martinezton,Refund,March,Declined
kingapril,GB66USNN06319978681660,amex,2700966856154381,2025-12-06 18:59:50,BlueStone,Clothing,41101.99,INR,Debit Card,Quinnview,Purchase,February,Pending
lindamartin,GB92IRPT94470639363659,saphiro,3597721047909142,2025-10-29 23:38:14,Snapdeal,Electronics,52417.16,INR,Mobile Payment,Kathleenport,Withdrawal,May,Pending
ashley94,GB55FOMR03741594326540,Discover,4972887706647548,2025-01-14 00:17:15,ShopClues,Travel,4826.47,INR,Credit Card,Mckinneychester,Refund,May,Declined
michaelcombs,GB34JFQV21337668323061,Mastercard,341539113233527,2025-05-07 01:26:21,Meesho,Dining,11546.22,INR,Bank Transfer,Lake Kimberlyfurt,Deposit,April,Approved
jacobspamela,GB59SCQC07758967564993,amex,6546948701950279,2025-06-08 00:30:18,Zivame,Grocery,24823.56,INR,NEFT,Lake Scott,Refund,August,Pending
tiffanysmith,GB37YCEM93478121522514,VISA,6590806936639114,2025-10-17 05:00:08,JioMart,Electronics,33552.18,INR,Credit Card,Garzaland,Refund,June,Reversed
krodriguez,GB44LWPT63700304108711,VISA,4891459160220,2025-10-16 16:04:36,Brand Factory,Electronics,52516.03,INR,Debit Card,Lake Scottport,Refund,July,Pending
cindyguzman,GB38VQZY45428228873628,Diners Club,3561881544843343,2025-10-18 16:07:32,Metro Cash & Carry India,Electronics,8638.61,INR,Debit Card,Port Brandon,Withdrawal,August,Declined
john95,GB64ETCL18504377191798,VISA,3556753522638804,2025-07-06 22:00:30,IKEA India,Travel,3040.76,INR,Mobile Payment,South Robertberg,Purchase,March,Approved
jacob69,GB84VLLI97045718112352,chhupay,503803938227,2025-04-24 09:28:46,Infiniti Retail Ltd,Electronics,55056.02,INR,Debit Card,Flynnside,Refund,November,Approved
